cd8_epitope	hydro_score
FALSE	-0.704
FALSE	-0.208
FALSE	-1.352
FALSE	0.16
FALSE	-1.12
FALSE	-1.052
FALSE	-0.256
FALSE	-0.84
FALSE	-0.488
FALSE	-1.48
FALSE	-0.164
FALSE	-0.232
FALSE	0.232
FALSE	-0.576
FALSE	-0.544
FALSE	-1.096
FALSE	0.16
FALSE	-0.424
FALSE	-0.088
FALSE	0.124
FALSE	-0.292
FALSE	-0.12
FALSE	-0.868
FALSE	1.316
FALSE	0.38
FALSE	-0.38
FALSE	-1.076
FALSE	-0.056
FALSE	-1.256
FALSE	-0.02
FALSE	0.616
FALSE	0.008
FALSE	-0.872
FALSE	-1.192
FALSE	0.376
FALSE	1.944
FALSE	-0.22
FALSE	-1.564
FALSE	-1.968
FALSE	-1.344
FALSE	-0.376
FALSE	-1.58
FALSE	-0.66
FALSE	-0.264
FALSE	-1.312
FALSE	0.112
FALSE	-0.764
FALSE	0.292
FALSE	-0.836
FALSE	-0.792
FALSE	-1
FALSE	-0.196
FALSE	-0.656
FALSE	-0.024
FALSE	-0.072
FALSE	-0.876
FALSE	-0.888
FALSE	-1.288
FALSE	0.164
FALSE	-2.404
FALSE	-0.088
FALSE	0.056
FALSE	0.208
FALSE	-0.528
FALSE	0.396
FALSE	0.528
FALSE	-0.308
FALSE	-1.016
FALSE	-0.436
FALSE	0.4
FALSE	-0.1
FALSE	-1.496
FALSE	-0.028
FALSE	0.2
FALSE	0.472
FALSE	1.212
FALSE	-1.34
FALSE	-0.144
TRUE	-0.88
FALSE	0.46
FALSE	0.648
FALSE	0.196
FALSE	-1.216
FALSE	-0.072
FALSE	-0.424
FALSE	0.268
TRUE	-0.164
FALSE	-1.048
FALSE	0.492
FALSE	-0.072
FALSE	-0.72
FALSE	0.192
FALSE	-0.928
FALSE	-0.912
FALSE	-0.08
FALSE	1.66
FALSE	-0.78
FALSE	-0.104
FALSE	-0.12
FALSE	-0.472
FALSE	-0.272
FALSE	-1.528
FALSE	-0.544
FALSE	-0.82
FALSE	1.292
FALSE	-0.624
FALSE	-0.42
FALSE	0.188
FALSE	-1.084
FALSE	0.176
FALSE	-0.512
FALSE	-0.584
FALSE	-1.412
FALSE	-1.2
FALSE	-0.5
FALSE	-2.844
FALSE	0.456
FALSE	-0.136
FALSE	-0.48
FALSE	1.428
FALSE	-0.86
FALSE	-0.816
FALSE	-0.856
FALSE	0.044
FALSE	-0.628
FALSE	-1.516
FALSE	0.52
FALSE	-0.656
FALSE	-1.116
FALSE	0.148
FALSE	-0.512
FALSE	-0.4
FALSE	-0.264
FALSE	-0.532
FALSE	-1.876
FALSE	-0.108
FALSE	-1.624
FALSE	-0.316
FALSE	-0.652
FALSE	-1.24
FALSE	-0.448
FALSE	-1.744
FALSE	-1.488
FALSE	-3.22
FALSE	-1.88
FALSE	-1.408
FALSE	-0.012
FALSE	-2.404
FALSE	0.624
FALSE	-0.12
FALSE	-1.608
FALSE	-0.984
FALSE	-0.164
FALSE	-0.74
FALSE	-2.04
FALSE	-0.9
FALSE	-1.756
FALSE	-0.784
